energy_MeV,U235_fission,U235_capture,U238_fission,U238_capture
0.00401167,4.6812,1.55826,2.87132e-09,0.0512694
0.00424597,5.01372,1.65682,3.70571e-09,0.0509862
0.00449395,4.35649,1.42917,4.85987e-09,0.0161887
0.00475641,3.88834,1.25685,6.57456e-09,0.879727
0.00503421,3.88128,1.23538,9.25603e-09,0.809192
0.00532822,4.02959,1.25978,1.60614e-08,0.954626
0.00563941,3.80357,1.20564,9.27555e-08,2.7758
0.00596877,3.64685,1.32215,5.96642e-09,2.42391
0.00631737,3.32377,1.26677,2.15963e-08,0.334675
0.00668633,3.18413,1.21256,5.80176e-08,0.287537
0.00707684,3.4843,1.28515,1.69291e-06,1.35893
0.00749015,3.21933,1.16686,1.3711e-06,0.230365
0.0079276,2.95858,1.18561,9.67492e-07,1.2983
0.00839061,3.00509,1.30783,6.85231e-08,0.0157339
0.00888065,2.93474,1.19344,1.554e-08,1.1604
0.00939931,3.18558,1.17079,4.58959e-07,0.0129589
0.00994827,2.84033,0.997511,1.7144e-08,0.329905
0.0105293,2.94943,1.02811,2.2e-07,0.703935
0.0111442,3.00418,1.04251,2.2e-07,0.68822
0.0117951,2.73405,0.944532,2.2e-07,0.671784
0.012484,2.54037,0.874618,2.2e-07,0.655689
0.0132131,2.98689,1.02531,2.2e-07,0.640483
0.0139848,2.68347,0.918422,2.2e-07,0.62472
0.0148015,2.79767,0.954667,2.2e-07,0.610211
0.015666,2.45543,0.835914,2.2e-07,0.595099
0.016581,2.39746,0.814412,2.2e-07,0.580432
0.0175493,2.4005,0.81383,2.2e-07,0.56579
0.0185743,2.55403,0.864678,2.2e-07,0.551626
0.0196591,2.40177,0.812106,2.2e-07,0.537554
0.0208073,2.14967,0.724284,2.2e-07,0.523586
0.0220225,2.51863,0.84474,2.2e-07,0.510096
0.0233087,2.10149,0.701628,2.2e-07,0.497032
0.02467,2.23306,0.742167,2.2e-07,0.484426
0.0261108,2.11914,0.701523,0.000160216,0.471409
0.0276358,2.11177,0.69645,2.2e-07,0.459728
0.0292498,2.17268,0.713839,2.2e-07,0.447264
0.0309581,2.08607,0.682089,2.10316e-05,0.435826
0.0327662,2.0843,0.677668,2.2e-07,0.42467
0.0346799,1.94784,0.62973,2.2e-07,0.413014
0.0367053,1.89655,0.60919,2.2e-07,0.402577
0.038849,1.89285,0.603984,2.2e-07,0.392191
0.041118,2.02064,0.640288,1.68e-05,0.382299
0.0435194,1.91556,0.602576,1.68e-05,0.37289
0.0460611,1.79779,0.561412,1.68e-05,0.358595
0.0487512,1.81588,0.562938,1.68e-05,0.334974
0.0515985,1.74927,0.538393,2.08e-05,0.314223
0.054612,1.86493,0.569909,2.08e-05,0.295811
0.0578016,1.8292,0.555014,2.08e-05,0.27929
0.0611774,1.80984,0.545191,5.46e-05,0.264299
0.0647504,1.69993,0.508313,5.46e-05,0.251524
0.0685321,1.73806,0.515888,5.46e-05,0.238019
0.0725346,1.73306,0.509726,4.13e-05,0.225977
0.0767709,1.63793,0.476871,4.13e-05,0.215492
0.0812546,1.63407,0.470938,1.84e-05,0.205759
0.0860001,1.52351,0.43466,1.84e-05,0.197137
0.0910229,1.55453,0.439191,4.21e-05,0.189028
0.0963389,1.61659,0.452869,4.21e-05,0.181839
0.101966,1.56483,0.424167,2.18e-05,0.175329
0.107921,1.54197,0.409644,2.18e-05,0.169804
0.114224,1.51761,0.395618,2.18e-05,0.16429
0.120895,1.49374,0.382256,2.18e-05,0.158522
0.127955,1.47582,0.370527,2.18e-05,0.1544
0.135429,1.45682,0.359561,2.18e-05,0.150038
0.143338,1.43689,0.349057,7.2798e-05,0.145929
0.15171,1.41826,0.339007,9.5933e-05,0.142418
0.16057,1.40781,0.32982,2.18e-05,0.139002
0.169948,1.39676,0.320881,2.18e-05,0.136095
0.179873,1.38021,0.310838,2.18e-05,0.133018
0.190379,1.36417,0.301179,2.18e-05,0.130541
0.201497,1.34885,0.291784,8.8e-05,0.128138
0.213266,1.33351,0.281665,8.8e-05,0.125908
0.225721,1.31878,0.271969,8.8e-05,0.123717
0.238904,1.30765,0.263335,8.8e-05,0.121747
0.252857,1.28601,0.252869,8.8e-05,0.119897
0.267625,1.25442,0.240846,8.8e-05,0.118181
0.283255,1.23417,0.231369,8.8e-05,0.116589
0.299798,1.23005,0.225163,8.8e-05,0.115018
0.317308,1.23,0.219272,0.000138156,0.114307
0.33584,1.22696,0.212999,0.000164642,0.113913
0.355454,1.22081,0.206389,0.000193867,0.113582
0.376214,1.21245,0.199624,0.000226864,0.112756
0.398186,1.2028,0.192852,0.000249612,0.111964
0.421442,1.1917,0.185719,0.0002758,0.111299
0.446055,1.16994,0.177182,0.000284154,0.110694
0.472107,1.15271,0.16967,0.000308763,0.109892
0.499679,1.14112,0.163234,0.000375575,0.109306
0.528863,1.1336,0.156773,0.000521077,0.109768
0.55975,1.12471,0.150358,0.000649404,0.110166
0.592442,1.11936,0.144666,0.000774002,0.111023
0.627042,1.11833,0.139722,0.00103112,0.113843
0.663664,1.11689,0.1349,0.00134187,0.116794
0.702424,1.11342,0.12999,0.00175385,0.118915
0.743449,1.11219,0.125321,0.00245905,0.119161
0.786869,1.11052,0.120774,0.00387416,0.120159
0.832825,1.11232,0.116755,0.00623748,0.121288
0.881465,1.12851,0.11434,0.0109588,0.122393
0.932946,1.16351,0.111802,0.0156445,0.124447
0.987433,1.19834,0.10881,0.0147273,0.125381
1.0451,1.1955,0.105525,0.0192394,0.120227
1.10614,1.19415,0.102235,0.0312558,0.113414
1.17074,1.19771,0.0990469,0.0402956,0.104113
1.23912,1.20141,0.0959585,0.0400262,0.0942654
1.31149,1.20939,0.0922078,0.0753127,0.0867487
1.38808,1.21859,0.0884717,0.167702,0.0793475
